nama_motor,lokasi,harga,deskripsi,kapasitas_mesin,tahun,transmisi,kilometer,url,merk
Yamaha All New Nmax 155,Kota Jakarta Barat,"Rp21,500,000","Mulus istimewa gress surat lengkap pajak hidup di jamin siap pakai di jual cash kredit tukar tambah,",155cc CC,2016,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=251187,Yamaha
Yamaha Nmax Abs,Kab. Tangerang,"Rp22,500,000",❗️Ready Stock ❗️Dijual Yamaha nmax tahun 2017Cash : 22.500 ( nego )Simulasi,155 CC,2017,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=251157,Yamaha
Yamaha Lexi S,Kota Jakarta Barat,"Rp20,600,000","Kondisi mulus original istimewa gres surat lengkap pajak hidup mesin cakep di jamin siap pakai, di j",125cc CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi-s?pid=251132,Yamaha
Yamaha Mio Cw,Kota Bandung,"Rp12,700,000",motor bekas berkualitas projaya motor cash dan kredit.,125cc CC,2018,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-mio-cw?pid=251130,Yamaha
Yamaha All New Nmax 155,Kota Bandung,"Rp27,000,000",motor bekas berkualitas projaya motor cash dan kredit.,155cc CC,2019,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155?pid=251129,Yamaha
Yamaha All New Nmax 155 Abs,Kota Bandung,"Rp33,000,000",motor bekas berkualitas projaya motor cash dan kredit.,155cc CC,2021,Otomatis,5000 - 10000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-nmax-155-abs?pid=251128,Yamaha
Yamaha Freego,Kota Bandung,"Rp17,300,000",motor bekas berkualitas projaya motor cash dan kredit.,125cc CC,2019,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-freego?pid=251125,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-fazzio-neo?pid=251090,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-r15-155-vva?pid=251043,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-all-new-r15-155-vva?pid=251044,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva?pid=251039,Yamaha
Yamaha Nmax Abs,Kota Jakarta Selatan,"Rp25,850,000",Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali pajak hidup dan unit siap pak,155 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=250999,Yamaha
Yamaha Aerox 155 Vva-s,Kota Jakarta Selatan,"Rp21,850,000",Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali pajak hidup dan unit siap pak,155 CC,2018,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva-s?pid=250998,Yamaha
Yamaha Nmax Abs,Kota Jakarta Selatan,"Rp25,850,000",Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali pajak hidup dan unit siap pak,155 CC,2019,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-nmax-abs?pid=250997,Yamaha
Yamaha Aerox 155 Vva-s,Kota Jakarta Barat,"Rp28,500,000",Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali pajak hidup dan unit siap pak,155 CC,2020,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva-s?pid=250996,Yamaha
Yamaha Freego,Kota Jakarta Timur,"Rp15,000,000",SUKSES MOTOR-WA: 081286299300-WEB : www.suksesmotoronline.com-GARANSI MESIN-GRATIS K,125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-freego?pid=250965,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-n-max?pid=250964,Yamaha
Yamaha Lexi,Kota Jakarta Timur,"Rp18,300,000",SUKSES MOTOR-WA: 081286299300-WEB : www.suksesmotoronline.com-GARANSI MESIN-GRATIS K,125 CC,2019,Otomatis,>30000 KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-lexi?pid=250958,Yamaha
,,,,,,,,https://www.momotor.id/motor-bekas/yamaha/yamaha-mio-z-125?pid=250842,Yamaha
Yamaha Aerox 155 Vva-s,Kota Jakarta Selatan,"Rp21,500,000",Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali pajak hidup dan unit siap pak,155 CC,2018,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-aerox-155-vva-s?pid=250779,Yamaha
Yamaha New Mio M3 Cw,Kota Jakarta Selatan,"Rp9,850,000",Motor mulus dan bagus surat2 lengkap dan tidak ada kendala sama sekali pajak hidup dan unit siap pak,125 CC,2015,Otomatis,10000 - 20000KM,https://www.momotor.id/motor-bekas/yamaha/yamaha-new-mio-m3-cw?pid=250772,Yamaha
