nama_motor,lokasi,harga,deskripsi,kapasitas_mesin,tahun,transmisi,kilometer,url,merk
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-fi?pid=249889,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-rr-250-mono?pid=249810,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w175-se?pid=249809,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w175-se?pid=249808,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-w175-se?pid=249807,Kawasaki
Kawasaki Ninja Zx6r,Kota Jakarta Barat,"Rp365,000,000","Motor bagus dan mulus, surat surat lengkap dan tidak ada kendala dan tenaga motor kuat dan siap paka",600 CC,2021,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-zx6r?pid=249750,Kawasaki
Kawasaki Ninja 250,Kota Jakarta Barat,"Rp37,500,000","Motor mulus dan bagus, surat2 lengkap dan tidak ada kendala sama sekali,unit bisa di jamin masih,dan",250 CC,2016,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250?pid=249748,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=249549,Kawasaki
Kawasaki New Z250 Sl,Kota Bandung,"Rp41,000,000",semakin mudah beli motor bekas siap pakai dan berkualitas cash atau kredit pembiayaan melalui adira ,250cc CC,2018,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-new-z250-sl?pid=249457,Kawasaki
Kawasaki Klx 150 G,Kota Bandung,"Rp23,800,000","motor bekas berkualitas motor siap pakai ,cash atau kredit pembiayaan di adira finance .",150cc CC,2019,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-g?pid=249294,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150?pid=249281,Kawasaki
Kawasaki Klx 150 Bf Se,Kota Bandung,"Rp28,800,000","motor bekas berkualitas motor siap pakai ,cash atau kredit pembiayaan di adira finance .artomoro",150cc CC,2019,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-bf-se?pid=249262,Kawasaki
Kawasaki Ninja,Kab. Tangerang,"Rp27,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai ,150 CC,2019,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja?pid=249221,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-abs-fi?pid=249129,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=249105,Kawasaki
Kawasaki Ninja 250 Fi,Kab. Tangerang,"Rp44,000,000",❗️Ready Stock ❗️Dijual Kawasaki ninja 250 fi 2017Cash : 44.000 ( nego )Simul,250 CC,2017,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=249017,Kawasaki
Kawasaki D Tracker 150,Kota Jakarta Barat,"Rp27,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai ,150 CC,2019,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150?pid=249013,Kawasaki
Kawasaki Klx 150,Kota Jakarta Barat,"Rp23,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai ,150 CC,2017,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150?pid=249012,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-rr?pid=248988,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=248954,Kawasaki
Kawasaki D-tracker 150,Kota Jakarta Barat,"Rp19,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai,150 CC,2015,Manual,10000 - 20000KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-d-tracker-150?pid=248949,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=248929,Kawasaki
Kawasaki Ninja 250 Fi,Kota Jakarta Barat,"Rp37,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai ,250 CC,2016,Manual,>30000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=248904,Kawasaki
Kawasaki Ninja Zx 25 R,Kota Bandung,"Rp115,000,000","Permisi temen2 bikers & Brother semua , mau nawarin motor Superb nih :HONDA CBR 250RR ABS 20",250cc CC,2021,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-zx-25-r?pid=248842,Kawasaki
Kawasaki Ninja Zx 25 R,Kota Bandung,"Rp115,000,000","Permisi temen2 bikers & Brother semua , mau nawarin motor Superb nih :HONDA CBR 250RR ABS 20",250cc CC,2021,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-zx-25-r?pid=248839,Kawasaki
Kawasaki Klx 150 G,Kota Bandung,"Rp24,500,000",motor bekas berkualias motor siap pakai kondisi prima.,150 CC,2019,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-g?pid=248718,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=248669,Kawasaki
Kawasaki Ninja 250 Fi,Kota Jakarta Barat,"Rp37,500,000",Motor mulus dan bagus untuk surat-surat lengkap dan tidak ada kendala sama sekali dan siap pakai ,250 CC,2016,Manual,>30000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=248613,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-zx-25-r?pid=248515,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250-fi?pid=248336,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-ninja-250?pid=248157,Kawasaki
Kawasaki Klx 150 G,Kota Bandung,"Rp24,000,000","motor bekas berkualitas ,surat lengkap ,motor siap gas.",150cc CC,2019,Otomatis,1000 - 5000 KM,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-klx-150-g?pid=248125,Kawasaki
,,,,,,,,https://www.momotor.id/motor-bekas/kawasaki/kawasaki-new-ninja-250-r?pid=248119,Kawasaki
