,nama_motor,lokasi,harga,kapasitas_mesin,tahun,transmisi,kilometer,merk
0,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,1,5,1
1,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
2,Yamaha Aerox 155 Vva,2,24500000.0,125,2018.0,1,4,1
3,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,1,4,1
4,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,5,1
5,Yamaha Lexi S,8,17800000.0,125,2019.0,1,5,1
6,Yamaha Jupiter Mx Cw,8,12500000.0,125,2017.0,1,5,1
7,Yamaha All New Nmax 155,8,27300000.0,155,2019.0,1,5,1
8,Yamaha Nmax Abs,8,27300000.0,155,2019.0,1,5,1
9,Yamaha Fino Sporty,8,14800000.0,125,2018.0,1,5,1
10,Yamaha Gear 125,8,17500000.0,125,2022.0,1,2,1
11,Yamaha Gear 125 S-version,8,17500000.0,125,2022.0,1,2,1
12,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
13,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,4,1
14,Yamaha All New Xsr 155,1,31900000.0,155,2022.0,1,3,1
15,Yamaha R15 Gp Tech 3,8,24500000.0,155,2018.0,1,5,1
16,Yamaha Scorpio G,8,13900000.0,220,2016.0,1,5,1
17,Yamaha Vixion Extreme,8,13800000.0,150,2017.0,1,5,1
18,Yamaha Vixion Extreme,8,13800000.0,150,2017.0,1,5,1
19,Yamaha R15 Gp Movistar,3,14850000.0,155,2015.0,1,5,1
20,Yamaha R15,3,14855000.0,150,2015.0,1,5,1
21,Yamaha Aerox 155 Vva,4,20500000.0,155,2018.0,1,4,1
22,Yamaha All New R15 155 Vva,4,25500000.0,155,2018.0,1,4,1
23,Yamaha Mio Z 125,4,9300000.0,125,2017.0,1,4,1
24,Yamaha All New Nmax 155,4,26000000.0,155,2019.0,1,4,1
25,Yamaha Lexi S,4,19500000.0,125,2019.0,1,4,1
26,Yamaha WR 155 R,10,32500000.0,155,2020.0,1,2,1
27,Yamaha All New Nmax 155,1,21500000.0,155,2016.0,1,5,1
28,Yamaha Nmax Abs,2,22500000.0,155,2017.0,1,5,1
29,Yamaha Lexi S,1,20600000.0,125,2019.0,1,5,1
30,Yamaha Mio Cw,4,12700000.0,125,2018.0,1,4,1
31,Yamaha All New Nmax 155,4,27000000.0,155,2019.0,1,2,1
32,Yamaha All New Nmax 155 Abs,4,33000000.0,155,2021.0,1,2,1
33,Yamaha Freego,4,17300000.0,125,2019.0,1,4,1
34,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,4,1
35,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,1,5,1
36,Yamaha Nmax Abs,1,24500000.0,155,2018.0,1,5,1
37,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,5,1
38,Yamaha Nmax Abs,3,25850000.0,155,2019.0,1,5,1
39,Yamaha Aerox 155 Vva-s,3,21850000.0,155,2018.0,1,5,1
40,Yamaha Nmax Abs,3,25850000.0,155,2019.0,1,4,1
41,Yamaha Aerox 155 Vva-s,1,28500000.0,155,2020.0,1,4,1
42,Yamaha Freego,5,15000000.0,125,2019.0,1,5,1
43,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
44,Yamaha Lexi,5,18300000.0,125,2019.0,1,5,1
45,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,5,1
46,Yamaha Aerox 155 Vva-s,3,21500000.0,155,2018.0,1,4,1
47,Yamaha New Mio M3 Cw,3,9850000.0,125,2015.0,1,4,1
48,Yamaha Nmax Abs,1,22500000.0,155,2017.0,1,4,1
49,Yamaha Lexi,5,17300000.0,125,2018.0,1,5,1
50,Yamaha N Max,5,24400000.0,155,2018.0,1,5,1
51,Yamaha Mio,1,9500000.0,125,2017.0,1,4,1
52,Yamaha Nmax Abs,3,23400000.0,155,2018.0,1,4,1
53,Yamaha Nmax Abs,3,26700000.0,155,2021.0,1,4,1
54,Yamaha R15 Gp Movistar,3,19700000.0,150,2017.0,1,4,1
55,Yamaha All New Nmax 155,1,22800000.0,155,2017.0,1,5,1
56,Yamaha All New Nmax 155,1,22900000.0,155,2017.0,1,5,1
57,Yamaha New Vixion,4,15800000.0,155,2017.0,1,2,1
58,Yamaha Lexi,2,17900000.0,125,2019.0,1,5,1
59,Yamaha Nmax Abs,2,24500000.0,155,2019.0,1,5,1
60,Yamaha Aerox 155 Vva,4,20500000.0,155,2018.0,1,4,1
61,Yamaha Nmax Abs,1,27500000.0,155,2019.0,1,3,1
62,Yamaha Nmax Abs,1,24300000.0,155,2018.0,1,5,1
63,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,1,4,1
64,Yamaha Nmax Abs,2,23500000.0,155,2019.0,1,5,1
65,Yamaha Nmax Abs,5,25000000.0,155,2019.0,1,4,1
66,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
67,Yamaha XMAX,10,47500000.0,250,2017.0,1,2,1
68,Yamaha Aerox 155 Vva,2,24500000.0,155,2018.0,1,5,1
69,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,5,1
70,Yamaha Aerox 155 Vva,3,20000000.0,155,2018.0,1,5,1
71,Yamaha Nmax Abs,3,23000000.0,155,2018.0,1,4,1
72,Yamaha Nmax Abs,2,22800000.0,155,2017.0,1,5,1
73,Yamaha All New X-ride 125,1,12960000.0,125,2019.0,1,4,1
74,Yamaha Aerox 155 Vva,2,23500000.0,125,2018.0,1,5,1
75,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
76,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,5,1
77,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
78,Yamaha Aerox 155 Vva-s,1,25500000.0,155,2020.0,1,5,1
79,Yamaha Aerox 155 Vva,1,23000000.0,155,2020.0,1,4,1
80,Yamaha Lexi,2,16500000.0,125,2018.0,1,2,1
81,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
82,Yamaha Nmax Abs,1,24500000.0,155,2018.0,1,4,1
83,Yamaha Nmax Abs,2,24500000.0,125,2018.0,1,5,1
84,Yamaha Nmax Special Custom,1,25500000.0,155,2020.0,1,4,1
85,Yamaha Nmax Abs,1,28500000.0,155,2021.0,1,4,1
86,Yamaha Nmax Special Custom,1,23500000.0,155,2018.0,1,4,1
87,Yamaha Aerox 155 Vva,1,19500000.0,155,2017.0,1,4,1
88,Yamaha Lexi S,2,18900000.0,125,2019.0,1,4,1
89,Yamaha R15,2,27000000.0,150,2020.0,1,4,1
90,Yamaha Fazzio Neo,2,23000000.0,125,2022.0,1,3,1
91,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
92,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
93,Yamaha Nmax Abs,2,24500000.0,155,2020.0,1,4,1
94,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
95,Yamaha All New Nmax 155 Con,2,32000000.0,155,2021.0,1,4,1
96,Yamaha All New Nmax 155,1,22900000.0,155,2017.0,1,5,1
97,Yamaha Lexi,4,18700000.0,125,2018.0,1,3,1
98,Yamaha Lexi,4,18800000.0,125,2018.0,1,3,1
99,Yamaha All New Nmax 155 Con,4,28800000.0,155,2020.0,1,3,1
100,Yamaha All New Nmax 155,4,29700000.0,155,2021.0,1,3,1
101,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,1,5,1
102,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,1,4,1
103,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,1,4,1
104,Yamaha Nmax Abs,2,23500000.0,155,2019.0,1,5,1
105,Yamaha N Max,4,27200000.0,155,2019.0,1,3,1
106,Yamaha Lexi,2,18900000.0,125,2019.0,1,4,1
107,Yamaha N Max,10,22300000.0,150,2017.0,1,3,1
108,Yamaha Nmax Abs,2,24500000.0,155,2019.0,1,5,1
109,Yamaha All New Nmax 155,1,22680000.0,155,2017.0,1,5,1
110,Yamaha Aerox 155 Vva,1,23500000.0,125,2019.0,1,5,1
111,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,5,1
112,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
113,Yamaha X Ride Se,4,10000000.0,125,2016.0,1,2,1
114,Yamaha N Max,4,21000000.0,155,2017.0,1,3,1
115,Yamaha Nmax Abs,1,23500000.0,156,2018.0,1,4,1
116,Yamaha Lexi,1,17500000.0,125,2019.0,1,4,1
117,Yamaha Aerox 155 Vva,1,19500000.0,155,2018.0,1,4,1
118,Yamaha Nmax Abs,1,23500000.0,155,2018.0,1,5,1
119,Yamaha Xmax Abs,1,44800000.0,250,2017.0,1,4,1
120,Yamaha Nmax Abs,1,28500000.0,155,2021.0,1,4,1
121,Yamaha Nmax Abs,1,25500000.0,155,2020.0,1,4,1
122,Yamaha Xmax Abs,1,57500000.0,250,2022.0,1,1,1
123,Yamaha All New Nmax 155 Con,1,27360000.0,155,2020.0,1,1,1
124,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
125,Yamaha Aerox 155 Vva,1,23500000.0,125,2019.0,1,5,1
126,Yamaha Nmax Abs,1,24500000.0,155,2019.0,1,4,1
127,Yamaha Nmax Abs,1,24500000.0,125,2018.0,1,5,1
128,Yamaha N Max,4,25000000.0,155,2018.0,1,3,1
129,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,5,1
130,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
131,Yamaha Nmax Abs,2,24500000.0,155,2020.0,1,4,1
132,Yamaha All New Nmax 155 Con,2,32000000.0,110,2021.0,1,2,1
133,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,4,1
134,Yamaha Aerox 155 Vva,3,20850000.0,150,2018.0,1,4,1
135,Yamaha Aerox 155 Vva,3,21500000.0,155,2019.0,1,4,1
136,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,1,5,1
137,Yamaha Aerox 155 Vva,2,24500000.0,155,2019.0,1,5,1
138,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,1,5,1
139,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,1,5,1
140,Yamaha Nmax Abs,1,23500000.0,155,2018.0,1,5,1
141,Yamaha R15,2,27000000.0,150,2020.0,1,2,1
142,Yamaha R15,2,17500000.0,150,2017.0,1,4,1
143,Yamaha N Max,6,27100000.0,150,2020.0,1,3,1
144,Yamaha N Max,6,25900000.0,150,2018.0,1,5,1
145,Yamaha Xmax,10,51500000.0,250,2018.0,1,2,1
146,Yamaha Xmax,10,44500000.0,250,2017.0,1,2,1
147,Yamaha N Max,7,22000000.0,150,2017.0,1,5,1
148,Yamaha N Max,7,22000000.0,150,2020.0,1,2,1
149,Yamaha N Max,6,28800000.0,155,2020.0,1,2,1
150,Yamaha Aerox 155 Vva,6,16000000.0,155,2021.0,1,2,1
151,Yamaha X-ride,6,9800000.0,125,2017.0,1,5,1
152,Yamaha Aerox 155 Vva,1,24500000.0,155,2019.0,1,4,1
153,Yamaha Aerox 155 Vva,4,25500000.0,155,2020.0,1,3,1
154,Yamaha Nmax Abs,4,28000000.0,155,2019.0,1,5,1
155,Yamaha Fino Sport 125 Blu Cr,1,12300000.0,150,2019.0,1,5,1
156,Yamaha All New Nmax 155,1,22400000.0,156,2017.0,1,5,1
157,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
158,Yamaha Aerox 155 Vva,2,24500000.0,155,2021.0,1,2,1
159,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
160,Yamaha Nmax Abs,2,24500000.0,155,2020.0,1,4,1
161,Yamaha All New Nmax 155 Con,2,32000000.0,155,2021.0,1,2,1
162,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,1,5,1
163,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
164,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,1,5,1
165,Yamaha Nmax Abs,1,23500000.0,125,2019.0,1,4,1
166,Yamaha Gear 125,7,16000000.0,125,2021.0,1,3,1
167,Yamaha Aerox 155 Vva,7,27500000.0,155,2021.0,1,3,1
168,Yamaha X-ride,6,9800000.0,125,2017.0,1,3,1
169,Yamaha N Max,6,25900000.0,150,2018.0,1,3,1
170,Yamaha N Max,6,27100000.0,150,2020.0,1,3,1
171,Yamaha All New R15 155 Vva,5,25600000.0,155,2019.0,1,5,1
172,Yamaha Aerox 155 Vva,5,20800000.0,155,2018.0,1,4,1
173,Yamaha All New Nmax 155,10,28500000.0,155,2020.0,1,2,1
174,Yamaha X-ride,4,10000000.0,125,2016.0,1,3,1
175,Yamaha All New Nmax 155,4,29800000.0,155,2021.0,1,3,1
176,Yamaha Aerox 155 Vva R,4,21700000.0,155,2018.0,1,3,1
177,Yamaha All New Vixion R,4,26800000.0,155,2017.0,1,3,1
178,Yamaha Aerox 155 Vva R,4,22500000.0,155,2018.0,1,3,1
179,Yamaha Lexi S,4,19500000.0,125,2019.0,1,3,1
180,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,4,1
181,Yamaha Lexi S,4,19300000.0,125,2019.0,1,3,1
182,Yamaha All New Nmax 155,4,30800000.0,155,2022.0,1,3,1
183,Yamaha Lexi S,4,20800000.0,125,2019.0,1,3,1
184,Yamaha New Mio M3 Cw,4,12500000.0,125,2020.0,1,3,1
185,Yamaha Gear 125,4,16700000.0,125,2022.0,1,3,1
186,Yamaha N Max,4,21000000.0,155,2017.0,1,3,1
187,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,5,1
188,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,4,1
189,Yamaha Xmax Abs,2,57500000.0,250,2022.0,1,1,1
190,Yamaha Gear 125,2,14500000.0,125,2021.0,1,2,1
191,Yamaha Lexi,2,16500000.0,125,2018.0,1,4,1
192,Yamaha X-ride,4,9800000.0,125,2016.0,1,2,1
193,Yamaha Nmax Abs,1,23500000.0,155,2018.0,1,4,1
194,Yamaha R15,2,24500000.0,150,2018.0,1,4,1
195,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,5,1
196,Yamaha Nmax Abs,1,24500000.0,125,2018.0,1,5,1
197,Yamaha All New Nmax 155,4,28500000.0,155,2020.0,1,3,1
198,Yamaha Nmax Abs,1,24500000.0,125,2018.0,1,5,1
199,Yamaha Aerox 155 Vva,1,23500000.0,125,2019.0,1,4,1
200,Yamaha Nmax Abs,2,23500000.0,125,2018.0,1,5,1
201,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,1,4,1
202,Yamaha Nmax Abs,2,24500000.0,125,2019.0,1,5,1
203,Yamaha Aerox 155 Vva,1,24500000.0,155,2019.0,1,4,1
204,Yamaha N Max,4,23700000.0,155,2017.0,1,3,1
205,Yamaha Lexi,4,18500000.0,125,2018.0,1,3,1
206,Yamaha Lexi,4,19700000.0,125,2021.0,1,3,1
207,Yamaha Lexi,4,19200000.0,125,2020.0,1,3,1
208,Yamaha All New R15 155 Vva,4,25000000.0,155,2018.0,1,3,1
209,Yamaha All New R15 155 Vva,4,23600000.0,155,2017.0,1,3,1
210,Yamaha Aerox 155 Vva,1,24500000.0,155,2019.0,1,5,1
211,Yamaha New V Ixion Adv Gp,1,13850000.0,150,2015.0,1,5,1
212,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
213,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,1,5,1
214,Yamaha Aerox 155 Vva R,3,20850000.0,155,2018.0,1,4,1
215,Yamaha Aerox 155 Vva,3,21500000.0,155,2019.0,1,2,1
216,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
217,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
218,Yamaha Gear 125,2,14500000.0,125,2021.0,1,2,1
219,Yamaha Lexi,2,17500000.0,125,2019.0,1,5,1
220,Yamaha Gear 125,2,14500000.0,125,2021.0,1,2,1
221,Yamaha Mio M3 125,2,14000000.0,125,2022.0,1,3,1
222,Yamaha Mio M3 125,1,8550000.0,125,2015.0,1,5,1
223,Yamaha Mio Z 125,1,9350000.0,125,2016.0,1,5,1
224,Yamaha All New Nmax 155,1,22400000.0,155,2017.0,1,5,1
225,Yamaha Nmax Abs,1,23500000.0,155,2018.0,1,4,1
226,Yamaha Xmax Abs,1,51500000.0,250,2019.0,1,3,1
227,Yamaha New Aerox 155 C,2,24500000.0,155,2021.0,1,4,1
228,Yamaha All New Nmax 155 Con,2,32000000.0,155,2021.0,1,2,1
229,Yamaha All New Nmax 155 Con,2,29500000.0,155,2021.0,1,2,1
230,Yamaha Nmax Abs,2,24500000.0,155,2020.0,1,4,1
231,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,5,1
232,Yamaha Lexi,1,17500000.0,125,2019.0,1,4,1
233,Yamaha Nmax Abs,1,28500000.0,155,2021.0,1,4,1
234,Yamaha Nmax Abs,1,25500000.0,155,2020.0,1,4,1
235,Yamaha Nmax Abs,3,24500000.0,155,2018.0,1,4,1
236,Yamaha Nmax Abs,3,25500000.0,155,2019.0,1,4,1
237,Yamaha Nmax Abs,3,24850000.0,155,2018.0,1,4,1
238,Yamaha Aerox 155 Vva R,3,20850000.0,155,2018.0,1,4,1
239,Yamaha Aerox 155 Vva,3,21500000.0,155,2019.0,1,4,1
240,Yamaha Nmax Abs,10,24000000.0,155,2018.0,1,3,1
241,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,4,1
242,Yamaha Nmax Abs,2,24500000.0,155,2019.0,1,4,1
243,Yamaha Nmax Abs,2,24500000.0,125,2019.0,1,5,1
244,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
245,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,4,1
246,Yamaha Gear 125,7,16000000.0,125,2021.0,1,3,1
247,Yamaha Nmax Abs,1,24500000.0,125,2019.0,1,4,1
248,Yamaha Aerox 155 Vva,1,23500000.0,155,2019.0,1,5,1
249,Yamaha Mio Z 125,14,11000000.0,125,2018.0,1,5,1
250,Yamaha X-ride,4,10000000.0,125,2016.0,1,3,1
251,Yamaha X-ride,4,10000000.0,125,2016.0,1,2,1
252,Yamaha X-ride,4,10000000.0,125,2016.0,1,2,1
253,Yamaha X Ride Se,4,10000000.0,125,2016.0,1,2,1
254,Yamaha New Mio M3 Cw,4,9000000.0,125,2016.0,1,3,1
255,Yamaha Nmax Abs,2,23500000.0,125,2018.0,1,4,1
256,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
257,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,1,5,1
258,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,1,5,1
259,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,5,1
260,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,4,1
261,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,4,1
262,Yamaha Fino Grade 125,1,12960000.0,125,2019.0,1,5,1
263,Yamaha Aerox 155 Vva,4,20000000.0,155,2019.0,1,3,1
264,Yamaha Nmax Abs,1,24500000.0,125,2019.0,1,5,1
265,Yamaha Nmax Abs,2,24500000.0,125,2019.0,1,4,1
266,Yamaha Nmax Abs,1,24500000.0,155,2019.0,1,4,1
267,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,1,5,1
268,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,5,1
269,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,1,5,1
270,Yamaha Xmax,1,44800000.0,250,2017.0,1,4,1
271,Yamaha All New Nmax 155,1,20790000.0,155,2016.0,1,5,1
272,Yamaha Aerox 155 Vva,1,19500000.0,155,2017.0,1,4,1
273,Yamaha Nmax Abs,1,23500000.0,155,2018.0,1,4,1
274,Yamaha R15 Gp Tech 3,7,21000000.0,150,2017.0,1,5,1
275,Yamaha Gear 125,7,15500000.0,110,2021.0,1,3,1
276,Yamaha Gear 125,4,14000000.0,125,2020.0,1,3,1
277,Yamaha R25,4,34000000.0,250,2016.0,1,2,1
278,Yamaha Nmax Abs,4,25500000.0,155,2018.0,1,3,1
279,Yamaha N Max,4,24500000.0,155,2017.0,1,2,1
280,Yamaha N Max,4,24500000.0,155,2017.0,1,2,1
281,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,5,1
282,Yamaha Nmax Abs,1,24500000.0,125,2018.0,1,5,1
283,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,5,1
284,Yamaha Aerox 155 Vva,2,24500000.0,125,2019.0,1,4,1
285,Yamaha Nmax Abs,1,24500000.0,155,2018.0,1,4,1
286,Yamaha Nmax Abs,4,23850000.0,155,2018.0,1,3,1
287,Yamaha Lexi,4,18500000.0,125,2019.0,1,3,1
288,Yamaha Nmax Abs,2,23500000.0,125,2019.0,1,4,1
289,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,1,4,1
290,Yamaha Aerox 155 Vva R,1,23800000.0,155,2019.0,1,3,1
291,Yamaha Aerox 155 Vva,1,24500000.0,155,2019.0,1,5,1
292,Yamaha Nmax Abs,2,24500000.0,125,2019.0,1,4,1
293,Yamaha All New Nmax 155,4,29500000.0,155,2021.0,1,3,1
294,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,1,4,1
295,Yamaha Nmax Abs,3,25500000.0,155,2019.0,1,4,1
296,Yamaha Lexi,1,17500000.0,125,2019.0,1,4,1
297,Yamaha Aerox 155 Vva,2,24500000.0,155,2019.0,1,5,1
298,Yamaha Nmax Abs,1,24300000.0,155,2018.0,1,5,1
299,Yamaha All New Vixion R,7,18000000.0,150,2018.0,1,2,1
300,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
301,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
302,Yamaha Aerox 155 Vva,2,18500000.0,155,2017.0,1,5,1
303,Yamaha Nmax Abs,2,24000000.0,155,2018.0,1,4,1
304,Yamaha Aerox 155 Vva,2,23500000.0,125,2018.0,1,5,1
305,Yamaha Nmax Abs,1,23500000.0,125,2018.0,1,4,1
306,Yamaha R15,2,17500000.0,150,2017.0,1,4,1
307,Yamaha Mio M3 125,2,14000000.0,125,2022.0,1,3,1
308,Yamaha Nmax Abs,2,23500000.0,155,2018.0,1,4,1
309,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,1,5,1
310,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
311,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
312,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,4,1
313,Yamaha Aerox 155 Vva,2,23500000.0,155,2019.0,1,5,1
314,Yamaha All New Nmax 155,1,23999000.0,155,2018.0,1,5,1
315,Yamaha Nmax Abs,3,24500000.0,155,2018.0,1,4,1
316,Yamaha Aerox 155 Vva R,1,23850000.0,155,2019.0,1,3,1
317,Yamaha All New Nmax 155,1,23500000.0,155,2018.0,1,4,1
318,Yamaha Nmax Abs,1,24500000.0,155,2018.0,1,4,1
319,Yamaha Nmax Abs,1,23500000.0,155,2019.0,1,5,1
320,Yamaha Aerox 155 Vva,3,20850000.0,155,2017.0,1,4,1
321,Yamaha Gear 125,5,16100000.0,125,2022.0,1,2,1
322,Yamaha All New Xsr 155,1,29800000.0,155,2020.0,1,4,1
323,Yamaha Aerox 155 Vva,1,23500000.0,155,2019.0,1,5,1
324,Yamaha Nmax Abs,1,23500000.0,155,2018.0,1,4,1
325,Yamaha Aerox 155 Vva,1,24500000.0,125,2018.0,1,4,1
326,Yamaha Fino Premium Fi Se,5,15200000.0,125,2021.0,1,2,1
327,Yamaha Lexi,5,18500000.0,125,2019.0,1,4,1
328,Yamaha All New R15 155 Vva,5,23900000.0,150,2018.0,1,4,1
329,Yamaha Nmax Special Custom,2,26000000.0,155,2019.0,1,4,1
330,Yamaha Nmax Abs,2,25000000.0,155,2019.0,1,4,1
331,Yamaha Nmax Abs,2,24200000.0,1550,2018.0,1,4,1
332,Yamaha Nmax Abs,2,24200000.0,155,2018.0,1,4,1
333,Yamaha Nmax Abs,1,28000000.0,155,2020.0,1,4,1
334,Yamaha Nmax Abs,3,23850000.0,155,2018.0,1,5,1
335,Yamaha Aerox 155 Vva,1,24500000.0,125,2019.0,1,4,1
336,Yamaha Aerox 155 Vva,1,19900000.0,155,2018.0,1,4,1
337,Yamaha Aerox 155 Vva-s,5,21100000.0,155,2018.0,1,4,1
338,Yamaha N Max,1,19500000.0,155,2016.0,1,5,1
339,Yamaha All New R15 155 Vva,1,21000000.0,155,2017.0,1,4,1
340,Yamaha Aerox 155 Vva-s,1,23800000.0,155,2018.0,1,4,1
341,Yamaha All New Nmax 155,1,21980000.0,155,2017.0,1,5,1
342,Yamaha Nmax Abs,2,24500000.0,155,2019.0,1,5,1
343,Yamaha Aerox 155 Vva,1,23500000.0,155,2019.0,1,5,1
344,Yamaha Soul Gt,3,10500000.0,125,2015.0,1,5,1
345,Yamaha All New Vixion R,10,17000000.0,125,2018.0,1,3,1
346,Yamaha All New Vixion R,10,19500000.0,125,2019.0,1,3,1
347,Yamaha Xmax,10,49000000.0,250,2018.0,1,3,1
348,Yamaha All New Nmax 155,12,28400000.0,155,2020.0,1,5,1
349,Yamaha Nmax Special Custom,5,25300000.0,155,2019.0,1,4,1
350,Yamaha All New Nmax 155,12,23300000.0,155,2018.0,1,5,1
351,Yamaha Freego,12,14200000.0,125,2019.0,1,5,1
352,Yamaha N Max,5,22200000.0,155,2017.0,1,5,1
353,Yamaha N Max,10,26000000.0,155,2019.0,1,4,1
354,Yamaha Aerox 155 Vva,2,24500000.0,155,2018.0,1,4,1
355,Yamaha Aerox 155 Vva,1,23500000.0,155,2019.0,1,5,1
356,Yamaha R15,2,24000000.0,150,2018.0,1,4,1
357,Yamaha All New R15 155 Vva,2,31000000.0,155,2021.0,1,3,1
358,Yamaha R15 Gp Movistar,2,18000000.0,155,2016.0,1,4,1
359,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
360,Yamaha Nmax Abs,2,24500000.0,155,2018.0,1,4,1
361,Yamaha Aerox 155 Vva-s,5,19000000.0,155,2017.0,1,5,1
362,Yamaha Fino Premium 125 Blue Core,12,12900000.0,125,2019.0,1,5,1
363,Yamaha All New X-ride 125,5,15200000.0,125,2021.0,1,4,1
364,Yamaha All New Nmax 155,1,23850000.0,155,2018.0,1,5,1
365,Yamaha Aerox 155 Vva,2,24500000.0,155,2018.0,1,4,1
366,Yamaha Aerox 155 Vva,3,21500000.0,155,2020.0,1,4,1
367,Yamaha Fino Classic Fi,5,12200000.0,125,2019.0,1,5,1
368,Yamaha All New R15 155 Vva,5,21100000.0,155,2017.0,1,4,1
369,Yamaha All New R15 155 Vva,5,25200000.0,155,2019.0,1,2,1
370,Yamaha All New R15 155 Vva,5,25200000.0,155,2019.0,1,5,1
371,Yamaha Xmax Abs,5,49800000.0,250,2019.0,1,5,1
372,Yamaha All New R15 155 Vva,5,24100000.0,155,2018.0,1,5,1
373,Yamaha Lexi,2,17500000.0,125,2019.0,1,5,1
374,Yamaha Gear 125,5,15000000.0,125,2021.0,1,4,1
375,Yamaha Aerox 155 Vva,5,20600000.0,155,2018.0,1,5,1
376,Yamaha Aerox 155 Vva,1,23500000.0,155,2019.0,1,5,1
377,Yamaha Nmax Abs,2,24500000.0,155,2019.0,1,4,1
378,Yamaha Gear 125,2,14500000.0,125,2021.0,1,2,1
379,Yamaha Mio M3 125,2,12100000.0,125,2019.0,1,4,1
380,Yamaha R15,2,30500000.0,150,2021.0,1,3,1
