,nama_motor,lokasi,harga,kapasitas_mesin,tahun,transmisi,kilometer,merk
1483,Yamaha Aerox 155 Vva,2,23500000.0,155,2018.0,3,4,3
1484,Yamaha Nmax Abs,1,24500000.0,125,2018.0,3,4,3
1485,Yamaha Nmax Abs,2,23500000.0,155,2019.0,3,4,3
1486,Yamaha Nmax Abs,1,23500000.0,155,2018.0,3,4,3
1487,Kawasaki Ninja Zx 25 R,4,120500000.0,250,2021.0,3,3,3
1488,Yamaha Nmax Abs,2,23500000.0,155,2019.0,3,4,3
1489,Yamaha Nmax Abs,2,24500000.0,125,2018.0,3,5,3
1490,Yamaha Aerox 155 Vva,2,24500000.0,155,2018.0,3,4,3
1491,Yamaha Aerox 155 Vva,1,23500000.0,155,2018.0,3,4,3
1492,Yamaha Nmax Abs,2,23500000.0,125,2019.0,3,5,3
1493,Yamaha Nmax Abs,1,24500000.0,125,2018.0,3,4,3
1494,Yamaha Aerox 155 Vva,1,23500000.0,125,2019.0,3,4,3
1495,Yamaha Aerox 155 Vva,1,23500000.0,125,2018.0,3,5,3
1496,Yamaha Aerox 155 Vva,1,23500000.0,125,2019.0,3,5,3
1497,Yamaha Aerox 155 Vva,2,24500000.0,125,2018.0,3,4,3
1498,Yamaha Nmax Abs,1,24500000.0,125,2018.0,3,4,3
1499,Yamaha Nmax Abs,1,23500000.0,155,2019.0,3,4,3
1500,Kawasaki Ninja Zx6r,1,365000000.0,600,2021.0,3,4,3
1501,Kawasaki Ninja 250,1,37500000.0,250,2016.0,3,4,3
1502,Yamaha Nmax Abs,2,24500000.0,125,2019.0,3,4,3
1503,Kawasaki New Z250 Sl,4,41000000.0,250,2018.0,3,3,3
1504,Kawasaki Klx 150 G,4,23800000.0,150,2019.0,3,3,3
1505,Yamaha Nmax Abs,2,23500000.0,125,2018.0,3,4,3
1506,Kawasaki Klx 150 Bf Se,4,28800000.0,150,2019.0,3,3,3
1507,Kawasaki Ninja,2,27500000.0,150,2019.0,3,4,3
1508,Yamaha Nmax Abs,2,24500000.0,155,2019.0,3,4,3
1509,Yamaha Aerox 155 Vva,2,23500000.0,125,2019.0,3,4,3
1510,Kawasaki Ninja 250 Fi,2,44000000.0,250,2017.0,3,4,3
1511,Kawasaki D Tracker 150,1,27500000.0,150,2019.0,3,4,3
1512,Kawasaki Klx 150,1,23500000.0,150,2017.0,3,4,3
1513,Yamaha Nmax Abs,2,24500000.0,125,2019.0,3,4,3
1514,Yamaha Aerox 155 Vva,2,24500000.0,125,2018.0,3,5,3
1515,Kawasaki D-tracker 150,1,19500000.0,150,2015.0,3,4,3
1516,Yamaha Aerox 155 Vva,1,23500000.0,125,2019.0,3,5,3
1517,Kawasaki Ninja 250 Fi,1,37500000.0,250,2016.0,3,5,3
1518,Kawasaki Ninja Zx 25 R,4,115000000.0,250,2021.0,3,3,3
1519,Kawasaki Ninja Zx 25 R,4,115000000.0,250,2021.0,3,3,3
1520,Kawasaki Klx 150 G,4,24500000.0,150,2019.0,3,3,3
1521,Yamaha Nmax Abs,1,24500000.0,155,2018.0,3,5,3
1522,Kawasaki Ninja 250 Fi,1,37500000.0,250,2016.0,3,5,3
1523,Yamaha Nmax Abs,1,24500000.0,155,2019.0,3,5,3
1524,Yamaha Aerox 155 Vva,2,24500000.0,155,2019.0,3,5,3
1525,Yamaha Aerox 155 Vva,2,23500000.0,125,2018.0,3,4,3
1526,Kawasaki Klx 150 G,4,24000000.0,150,2019.0,3,3,3
1527,Yamaha Aerox 155 Vva,1,24500000.0,155,2018.0,3,4,3
1528,Kawasaki D-tracker 150,1,19500000.0,150,2015.0,3,4,3
1529,Yamaha Nmax Abs,1,23500000.0,155,2019.0,3,5,3
1530,Kawasaki W 175 Cafe,5,24500000.0,175,2019.0,3,2,3
1531,Kawasaki Ninja 250 Fi,2,44000000.0,250,2017.0,3,4,3
1532,Yamaha Nmax Abs,2,24500000.0,125,2019.0,3,5,3
1533,Kawasaki Klx 150 Bf Se,5,30700000.0,125,2019.0,3,4,3
1534,Kawasaki Ninja 250 Abs Fi,5,55500000.0,250,2018.0,3,4,3
1535,Kawasaki W175 Se,5,23800000.0,175,2018.0,3,4,3
